S.No,Text,,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir, Please discuss about student who score low marks in 10th and 12th and also discuss its career in private job sector as well as govt. job sector.",,,,,,,,,,,,,,,,,,,,,
2,"Dear Prime Minister Sir, Please celebrate cycle day like yoga day. It will definitely beneficial for our environment. please announce to stop use diesel or petrol vehicle for one day. please think on it. we need to save our environment and and give good and fresh environment gift to our future children. You have more idea then me.",,,,,,,,,,,,,,,,,,,,,
3,"Mahodya, hamare desh mein aajadi ke baad se aneko prakar ke swasthya karyakram chalaye ja rahe hain lekin samaybaddh lakshya prapti nahi ho pati. aur health for all ka sapna door ki kaudi najar aata hai. mere vivek se iske mukhya karan swasthya yojnao mein apardarshita bhrashtachar, nishkriyata, yojnao mein nigrani ki kami paschat sewaon ka abhao, mulyankakn pranali sateek na hona hai.evam labhartiyon ka satyapan jimmedar logon dwara kewal abhilekhon mein kiya jata hai.kya NHP 2017 saksham hai.",,,,,,,,,,,,,,,,,,,,,
4,"Dear Sir, I had made a suggestion a couple of years ago regarding a problem (inability to cook food properly) that our jawans faced at high altitudes in the Himalayas. I thank you for taking it up with DRDO to redesign cooker weights for making life easy for our dear jawans. ",,,,,,,,,,,,,,,,,,,,,
5,"Sir,
I am IT professional working in Tier 1 city of India..I request you to please do something that big IT companies should start their business in small cities of India.Because as these IT companies are in big cities most of the youth comes in big cities and after some time they got settled in these cities and due to which population growth of the cities increasing due to which other problems like traffic basic needs like water and residential problem also increasing.",,,,,,,,,,,,,,,,,,,,,
6,"Honorable PM, pls take an effort of designing & implementing the joining of rivers between the states. Such that all flood waters are saved and water is not wasted by mixing in the sea.Similar to the electricity grid.Most population in India don't get drinking water and water for irrigation.I want to come back to India & do farming but there is no water in TamilNadu. Also, pls understand more about frackling process and I live in USA where Maryland state is passing a bill to ban frackling.",,,,,,,,,,,,,,,,,,,,,
7,Hi TECH SCHOOL BANVADIJYA,,,,,,,,,,,,,,,,,,,,,
8,Dear prime Minister ,,,,,,,,,,,,,,,,,,,,,
9,"@narendramodi @narendramodi_in Respected sir,
The main Occupation of India is agriculture. Many farmers are making suicide due to bad yield of crops, loan related to agriculture. My suggestion on this is ""when everything almost govt sector is getting priv",,,,,,,,,,,,,,,,,,,,,
10,"Respected Prime Minister,",,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir, I had made a suggestion some two years ago that will generate tens of thousands of jobs, attract investments in the range of lakhs of crore rupees, generating millions of KW of clean energy, zero transmission and distribution losses at zero cost for the government. It will also meet our country's commitment on climate change. I request you to provide some serious consideration to my proposal.",,,,,,,,,,,,,,,,,,,,,
2,"Sir, It is indeed wonderful that you have asked all Income Tax filers to mention their PANin the income tax returns. I consider this a major step in your crusade against black money. Obviously influential people who have a lot to hide are making a lot of noise against this step in the media. You must mention this in your Maan ki Baat address and ask them to quote one instance where aadhaar has been misused.Only vested interests are against people at large are for it.",,,,,,,,,,,,,,,,,,,,,
3,Sir I would like to inform that many people were sent money by direct remittance in third party accounts instead of neft / transfer.,,,,,,,,,,,,,,,,,,,,,
4,"Dear Sir,
MODI SIR R U  write person in ALL OVER INDIA STOP THE CORRECTION AND WRITE WAY TO ADMINISTRATION OF INDIA,NOW SOME CORRECTION IN INDIAN  RAILWAY,",,,,,,,,,,,,,,,,,,,,,
5,"Can we have affordabl healthcare across India by applying fix rate.Like Metro city doctor can not charge more than RS.200 and Small town should not charge more than Rs 50 for consultancy. Also they should not take more than MRP price of medicine used in treatment. X-Ray , blood test and Different type of scan or any other treatments should be have fix rate charge (charge should not be more than amount required to process single test + 1% as maintenance charge)",,,,,,,,,,,,,,,,,,,,,
6,"Sir,
There should be creation of Indian Medical Services in lines of Indian administrative services.Then only healthcare of this country will see any progress",,,,,,,,,,,,,,,,,,,,,
7,"Sir,
There had been 8 attacks on doctors in the past 1 week.There should be bill made in parliament if patients attack healthcare professional and beat them, non bailable Warrant and 7 years imprisonment with in 1 week the Justice should be delivered",,,,,,,,,,,,,,,,,,,,,
8,"Dear Sir,
In order to achieve clean & green India every citizens 1st step must be to create a plastic free environment,for which please create awareness for the recycling of plastic materials & prevention plastic uses.",,,,,,,,,,,,,,,,,,,,,
9,"Our honorable PM is requested to take initiative so that the ""TEACHINGS OF VIVEKANANDA"" is included in school syllabus.Regards.",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir instead of building smarter cities, can we move towards in building smarter villages.",,,,,,,,,,,,,,,,,,,,,
1,Constitutionally if electricity made subject of Central govt. And if efficiency of discoms are increasing for 24 hour power then development rate can be rise automatically for sab ka Saath sab ka Vikas.,,,,,,,,,,,,,,,,,,,,,
2,"one day we should celebrate  cashless day, school and college students should be participate  to teach a cashless transaction by BHIM app to people. govt employee also participate in it",,,,,,,,,,,,,,,,,,,,,
3,Bonafide taxpayer like me is concerned over the announcement by Finance Minister to make Aadhaar compulsory for filing income tax return. I really creates lot of stress on us as its not easy still to get Aadhaar card in our district Dakshina Kannada (in Karnataka) where we have to wait for over a month to get appointment for new registration. Though officials claim to have achieved 98 per cent (as per 2011 census) the process of registration is not simplified.,,,,,,,,,,,,,,,,,,,,,
4,"Sir NAVABHRAT NIRMAN
SWACHA BHARATH ALL OVER IN INDAI
POLITICS ( I SAPORT ELECTION COMMISSION.ROUDY SHEETERS,CRIMINALS,MONEY LANDORS NOT COMING INTO POLITICS
& FAMILY POLYTICS.  ONE FAMILY ONE MEMBER ONLY.
LAW AND ORDER STRICTLY, MODIFY RAJAYANGAM OLD LAWS
ALL GOVT TRANSPARANCY, DIGITALIASED CONTROL BLACK MONEY FOR A- Z.  GOVT ATHORITY
MEDICAL, EDUCATIONS AVILABLE LOW PRISE ALL MIDLE,LOW PEOPLES",,,,,,,,,,,,,,,,,,,,,
5,"Modi ji plz issue some indian currency notes(special edition)on which Shaheed Bhagat Singh Ji,Sukhdev ji,and Rajguru's photo is printed.",,,,,,,,,,,,,,,,,,,,,
6,"Dear Prime minister Sir,",,,,,,,,,,,,,,,,,,,,,
7,"Please Stop The Corruption At Rural Area Like Panchayat Samiti, Gram Panchayat.",,,,,,,,,,,,,,,,,,,,,
8,"Sir
We drs also have high expectations from MODI Government for our peaceful working
We doctors are also peace loving citizen of India.
We facing assaulte frequently if we don't leave India.
There is not any proper law to save doctors from violence.
Sir please do something our safety from violence and false fabricated​PNDT cases without our involvement/fault.
Although doctors vote percentage is not so high to affect political party but we are contributing to the country tax collection.",,,,,,,,,,,,,,,,,,,,,
9,"We would like to listen some of the inspirational story on regards to ""Shaheed Din"" ",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir
I'm Diptesh from Bengal working in a pvt.co.with low salary.Sir in NHP2017 of you keep a provision of mediclaim linked with aadhar card we the poor people can concentrate on treatment rather than go on begging for money.An universal bank a/c is created we will be able to deposit minimum premium.We will get claims linked via aadhar card.Your personal  intervention is solicited",,,,,,,,,,,,,,,,,,,,,
1,"For every kilometer along national highway, give the contract to local people to plant and maintain trees. Can be by auction.",,,,,,,,,,,,,,,,,,,,,
2,Each piece of public property should have a unique id and person responsible to maintain it. Especially for land between government owned road and private property.,,,,,,,,,,,,,,,,,,,,,
3,"Sir, while all the Central Govt employees are getting & CPC enifits, why not for autonomous bodies employers of present and pensioners in thousands , Kindly let us know what is holding and the reason for the delay , , they are also facing the price rise and inflation in many aspects of those who are in service, Sir I request U to kindly sanction 7% DA also which is due from June 16 to Dec 17th .Sir Kindly do the needful at the earliest. Thanking U Sir.",,,,,,,,,,,,,,,,,,,,,
4,"Hi Modi Sir,
As a part of Swatch Bharat, why don't we ask each and every shop to put a small plant before the shop (small to big shops), before ATM's, beside bus stops in cities.",,,,,,,,,,,,,,,,,,,,,
5,"Sub: non performing officers and corrupted officers.
I informed consent officer's by PMOPG, email and phone given my grievance but no reply no action. 19 Nov 2016 first complaint against one of the  TV channel complaint number given below PMOPG/E/2016/0453140, PMOPG E 2016 0495104 PMOPG E 2016 0567779 PMOPG E 2016 0617487 PMOPG E 2016 0011625 PMOPG E 2017 0040092 Broadcasting ministry. File No 271642 MOIAB E 2017 00357 Email , photos ,Videos and evidence send to Shri Ambuj Sharma .",,,,,,,,,,,,,,,,,,,,,
6,"Good Morning Sir,  Ur Schemes are Very Good.  But Officers Implementing Schemes are Very BAD.  I did't get the Gas Subsidy for last 3 Cylinders. Before that I got It. mY nOS IS 3 7500 0000 5654 3496.  I RAISE COMPLIANTS IN BANK( GIVEN AATHAAR CARD), GAS COMPANIES. TILL THE DATE NOT CORRECTD. MORE COMPLIANTS FOR THIS TYPE. SIR PLEASE RELEASE THE PENDING PAYMENTS.....PLEASE HELP PEOPLES WHO ARE SUFFERRING THIS TYPE..",,,,,,,,,,,,,,,,,,,,,
7,Respected Narendra Modi Ji sir I would like to tell you that in our country Eve teasing increasing more and more.By this issue many people's are in problem.So some measures should be taken to enclose these kinds of problems and we will have to safeguard our society.,,,,,,,,,,,,,,,,,,,,,
8,"SIR JANTA SE SEEDHA JUDNE KE LIYE JIS PRAKAR HAMARE RAJYA MADHYA PRADESH ME CM HELP LINE NO. H JISKE DWARA STATE GOV DWARA JANTA KI SABHI SIKAYATO KA NIVARAN KIYA JATA H , THATHA CM SIDHE JANTA SE JUD JATE .USI TAARJ PR YADI EK PM HELP LINE NO. JISME AAM JANTA AP TK SIDHE APNI BATO AIVAM SAMASYAO KO PAHUCHA SAKE TO BHUT ACHAA HOGA .ISKA PRAYOG VE LOG BHI KR SAKTE H JO LIKNA PADNA NAHI JANTE AUR PHONE PR APNI SAMSYON AUR SHUJHAVO KO RAKH SAKTE H.PM HELP LINE BHUT SAHAYAK VA KRANTIKAARI SIDDH HOGA",,,,,,,,,,,,,,,,,,,,,
9,1)the opposition parties should be compelled to answer petition database (petitions which are NOT PERSONAL) daily in facebook for good politics (experienced persons in all departments should be present in all opposition parties to answer petitions - is good politics) 2)all retired people should be united by facebook in department manner to answer the same petition database (Petitions which are NOT PERSONAL) for good politics. 3)safe sample election software with aadhar card entry will be useful,,,,,,,,,,,,,,,,,,,,,
10,"sir iss chanel m din bhaar competions ki jaankariya .prennadaayk stories .study material ,answers likhne kaa tarika ,phdne ka tarika bataaya jaye.chanel m ek coaching jaisa maahol ho . taki students ghar baithe hi chanel dwara sarkari nokriyo ki tyri kr sake aur hamaare garib students ko fayda ho sake .tv dwara sir bhut help ho sakta h .aur is chanel ka naam DD COMPETITOR HO.",,,,,,,,,,,,,,,,,,,,,
1,"GOOD AFTER NOON SIR,
PLEASE FIND THE ATTACHMENT OF POEM ON DR. BHIMRAO AMBEDKAR AND VERY SMALL SUGGEST ON HIS B'DAY.
IF ANY MISTAKE PLEASE FORGIVE ME THANK YOU.",,,,,,,,,,,,,,,,,,,,,
2,Respected sir my feeling after seeing various financial frauds that happened in the country is due to lack of uniform commerce education for whole country overseeing commerce economics accountancy insurance and business administration I suggest setting up of directorate of commerce education based at Mumbai administered from newdelhi with 22 state regional offices in line with directorate of technical education medical education etc to recommend initially and later regulate commerceeducation,,,,,,,,,,,,,,,,,,,,,
3,hamare kissano ke liye dd kissan chanel ne shandar kam kiya jisme provide ki ja rahi jankariyo se krishi ko directly iska laaabh ho raha aur kisan ghar baithe prashikchit ho rahe h . usi prakaar yadi sir koi aisa chanel ho jo un students ke liye jo nokriya prapt krne ke liye competiton exams ki tyri kr rahe h jisme mukhya roop se admistrative service ki tyri saamil ho aadi ki coaching free m ek sarkaari chanel dwara provide karayi jaye to be students jo coaching krne m aasakcham h unhe madad ho,,,,,,,,,,,,,,,,,,,,,
4,Why does plot owners or builders demand more money and show less in stamp registration?,,,,,,,,,,,,,,,,,,,,,
5,"Respected Narendra Modiji,
Hardik Abhinandan aur  Pranam,",,,,,,,,,,,,,,,,,,,,,
6,"SIR, IAM PROUDLY SAID THAT IAM INDIAN AND MY FATHER IS FARMER   BUT NOW A DAYS THERE IS SO MANY PROBLEMS FACED BY FARMER  so please  help to farmers for thier need ie. in technical way of cultivating field  like samachar potal  krushivikas yojana",,,,,,,,,,,,,,,,,,,,,
7,"sir please take a view on charges levied by banks on various matters such as ATM withdrawl, minimum balance , cash transaction. studends studying outside home will suffer. so please take serious view on this matter",,,,,,,,,,,,,,,,,,,,,
8,"Respected Our Gerat Indian Modiji sir  in India there is Unemployment is the Biggest problem for Indians  but our GOVERMENT Is try to eradicate this problem  this good news for allThe programs conducted our government is  ie..PMKY ,NSDL  etc
            thankyou for giving  this oppurtinies in this platform
                                          JAIHOO  INDIA...",,,,,,,,,,,,,,,,,,,,,
9,"There are only 2-3% taxpayers in country so Government should come with some schemes for additional benefits to taxpayers in order to lure non-taxpayers.
1) Term insurance of Annual tax payers
2) Govt. Medical benefits for Tax payers probably subsidiary in medicines or hospitalization
3) Free Toll for tax payers. if infrastructure, roads etc. are constructed with taxpayers money then only non-taxpayers shall pay toll.
An annual pass with Form 16 acknowledgement can serve the purpose.",,,,,,,,,,,,,,,,,,,,,
10,I would like to bring your kind attention to the serious sexual attack and insult happening in Kerala for the last 6 months unprecedented brutal sexual atrocities against minor girls reported in Kerala the situation is very serious and I request you to act immediately I hope that you already know about the incident in which prominent actress was assaulted in her own vehicle no action have been visibly taken to provide a safer environment to ourchildren.crime against children in the pastone month,,,,,,,,,,,,,,,,,,,,,
1,"Res Sri Modiji.I heard news that in future there will be no cards except Adhar Card. In my opinion DL card is required and Adhar must be foundation for all documents,but it should not be accessible by any one except card holder,whoever holding Adhar number in their data base must mask it. Adhar must be made mandatory for Marriage,new born bay registration (mother No only), Driving license, Bank account, PAN, school admission, bank account etc and existing these documents to be linked with Adhar.",,,,,,,,,,,,,,,,,,,,,
2,My concern is farmers.Why should they be dependent on rains for a good harvest? Cant we remove the dependency on rain. When we can have gas pipeline from one country to another why not have water pipeline within our country connecting waterland to drought hit places. its a big task but something which is very much possible.we should stop all river water that goes into sea and divert them through pipeline to places where water is scarcity. so much subsidy can be saved. Only Modi ji can do this.,,,,,,,,,,,,,,,,,,,,,
3,"Dear Our Honourable Prime Minister of India, Shri Narendra Modi Ji, I Sanjeev Pandey, requesting you to please rename our country name India to ""Bharat"" in the spirit of name of ""Bharatvarsh"". We the people of (Current name)India don't want the name given by the Britisher, We want to be recognized by the name ""Bharat"" not as an Indian, one country one nation Ek ""Bharat"". Bharat Mata ki Jai.",,,,,,,,,,,,,,,,,,,,,
4,"Respected Sir,
I requested you to also pay the attention in Madhya Pradesh. you have achieved great victory in Uttar Pradesh and By Making C. M. Yogi Aditya Nath you have proved that you want development in all over the country so please have a look after M.P.
As you have promised that you allow only 5% reservation in U.P.for Out Siders So I request you to make same policy in M.P. there are so much unemployment in M.P.",,,,,,,,,,,,,,,,,,,,,
5,"sir
as u know population of the country is still increasing rapidly. so i think we have to control it somehow.i propose that a law to be passed which is, a couple having more than 2 children should not eligible to apply for govt. jobs (including their children)and also for any other govt. facility like subsidy etc.#Mannkibaat",,,,,,,,,,,,,,,,,,,,,
6,"Request to respected sir, due to note ban we are doing transaction via cheque, DD, online transaction. but now the cheque bounce case are increasing and the people are making fraud by giving cheque. yes i agree that we can put fraud case on them after cheque bounce. but the time required to sort out the issue and paying bribe to the police is another burden. i request to take serious action for cheque bounce case. so that people get seriousness and believe in cheque transaction.",,,,,,,,,,,,,,,,,,,,,
7,"In train Take money pantry person for tea 10Rs ,coffee 10Rs., break fast 50Rs,water 20Rs.it is corruption against Govt. declaration. Manu should be available with each train pantry person. Also Manu card affix at each railway station for passenger guidelines.",,,,,,,,,,,,,,,,,,,,,
8,"I am a Small Businessmen find very difficult to recover money.People are not afraid to bouncing cheque. Case takes long time.When we do business in credit find very very difficult to get payment on time and  as this goes under civil court nobody is scared.
As gov.is worried about tax collection and doing reforms.
I feel to make business more secure is equally important. Very Very strict rules are required for payment defaulters.
SERIOUS MATTER please address it.Lets make business SAFE.",,,,,,,,,,,,,,,,,,,,,
9,"""mahodaya ajj yuva berojgar hai aur siksha vyavasta lachar hai"" ..jitne salary 1 government teacher ko milte hai utne me 5 yuva unse adhik mehnat ke sath pdhane ko tayyar hai .. mahodaya aap nayi yojanao se  jyada  jo chal rhe hai unke inspection pe dyan de .kyunki mai jab vidyalaya me pdta tha to inspection ke naam pe  vidyalaya diwali ki tarah sajaya jata tha  ... NAME -ANANT SHUKLA STATE- UTTAR PRADESH",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir, kindly provide roads and basic infrastructure to my parents village.  My grievances was forwarded to directorate of municipal admin but they sent a msg telling that my grievances pertain to rural and panchaytraj dept, copy of my request is attached herewith.",,,,,,,,,,,,,,,,,,,,,
1,"Dear Sir, We all concern with the environmental degradation and planting trees is one of the easy and economical way. yourself also emphasized same in most of the talk. I would like to draw your attention on two policies  1. National Agroforestry Policy 2014, which made no progress except renaming National Bamboo mission as  National Agroforestry and Bamboo mission 2. National Forest policy (draft) 2016, which pending with MoEF &CC . 3. Clear role of Indian Council of Forestry Res&Edu (ICFRE)",,,,,,,,,,,,,,,,,,,,,
2,"Dear Sir,
Productive employment is one of the biggest challenge that the country faces today. We may come up with a mechanism where in instead of one person working for 5-6 days a week, works for 4 days a week & gets 3 days off giving a scope to a second person to get employment for 3 days of that week. Salary can be on pro-rata basis. Critical employees can opt for Work from home facilities. It will double the employment opportunity in all public and private sector and have immense impact.",,,,,,,,,,,,,,,,,,,,,
3,"Pension law is same for all Indian (Govt.service person ,CM,PM, M.L.A & M.P ETC)
salary Structure decide for all position in private & Govt. Both are same required to develop India.",,,,,,,,,,,,,,,,,,,,,
4,"DEAR SIR,
Min.10th pass education required in each election for normal position & in assembly member Min graduation required.",,,,,,,,,,,,,,,,,,,,,
5,"I have suggesion for literacy and skilled labour for village. WE should have target for teachers to teach minimum (e.g 10,20,30) number of student in class secondly drop out  or failed studets should admitted to vocational school this will prevent child labour also and also help to get skilled labour we have to correlate vocational education schools with schools this will put pressure on teachers also to acheive target and vocational school also get promoted.",,,,,,,,,,,,,,,,,,,,,
6,"Recpacteble PM,
mara ek sujhav hai ki har gaon aur shahar mai public ki choti choti problem solf karne kei liye ek portel ho.jaha aam admi apni samasya nidar aur beifikar ho kar bta sake.yeh portel ek special department kei under ho.",,,,,,,,,,,,,,,,,,,,,
7,Safety of resident doctors in govt medical colleges in Maharashtra and India,,,,,,,,,,,,,,,,,,,,,
8,Safety of residents  govt medical colleges in Maharashtra and India,,,,,,,,,,,,,,,,,,,,,
9,My ideas for Mann  Ki Baat March 2017. #MannkiBaat #MyGov,,,,,,,,,,,,,,,,,,,,,
10,"we are students at pirens technical campus ,loni ,taluka-rahata .
we are from rural areas , in rural areas many studnts want to grow up with playing for nation . but its cant be done by facilities provided by the colleges , we are already play badminton , and want to play for nation and also in international tournaments , so its our request to please make that type of environment for it .
and we are know you van make action on it in very quick time.
     wish to god for your better n life.",,,,,,,,,,,,,,,,,,,,,
1,"NHP 2017 is unique to provide quality healthcare access at the doorstep of villages at an affordable cost, reduce citizen's out of pocket expenses & direct cost of Govt. around Rs.200000 crores, providing employment of 1 crore youths, bridge the gap of demand supply mismatch, doctor wise & facility wise, will eradicate corruption in Health delivery system. Proven model of OTTET eHealth & Telemedicine, has been adopted as Model of NTN. To fulfill your vision, pls direct MoHFW to discuss with us.",,,,,,,,,,,,,,,,,,,,,
2,In addition to what i posted about problems the electronic gadgets and excessive digital content in creating for the health of our children and to the society in general i am requesting you yo go through this article. Your views and advise will help a lot. SUMMER HOLIDAYS ARE THERE - Children should go out and play and not get confined in front of TV and Gadgets. Please talk about it.,,,,,,,,,,,,,,,,,,,,,
3,"Respected sir,
I very much like your dream of digital India, and i also take part in that initiative by doing digital transactions. but i found that i had charged many times for doing this transactions, and also many others had the same issue hence i and many other people had stopped doing digital transactions.
    So i kindly request you to please ensure chargeless digital transactions for a perfect digital India.
Thank-you.",,,,,,,,,,,,,,,,,,,,,
4,"Respected sir,
as i am hearing from all around that the reservation on caste basis will be eliminated step by step, then i will suggest that the documents related to castes and all the procedures for making of that documents should be eliminated.
Thank-you.",,,,,,,,,,,,,,,,,,,,,
5,"NHP 2017 is unique to provide quality healthcare access at the doorstep of villages at an affordable cost, reduce citizen's out of pocket expenses & direct cost of Govt. around Rs.200000 crores, providing employment of 1 crore youths, bridge the gap of demand supply mismatch, doctor wise & facility wise, will eradicate corruption in Health delivery system. Proven model of OTTET eHealth & Telemedicine, has been adopted as Model of NTN. To fulfill your vision, pls direct MoHFW to discuss with us.",,,,,,,,,,,,,,,,,,,,,
6,"Respected Sir,
I am Abhishek Sharma. I want to share my opinion to you that recently transaction limit is decided per month I:e 200000 per month. If a person is admitted in a hospital and needs large amount of money to operate what will he do? I suggest you to look after to the private or semi private hospitals who are doing business in hospitals .Hospitals are the non profit organisation and for social welfare. Please control the bill limit of these hospitals.",,,,,,,,,,,,,,,,,,,,,
7,"R/Sir,same is the case with teachers. This is making Poor people more poorer & rich People more richer. Modi Ji pls take strict actions on those who are working in Govt. deptt. with a good salary & are also working with Pvt. hospitals, Clinics, Coaching centres.It will help n benefit every one. It will also help us in dealing unemployment to some extent. Pls its a humble request to deal with this issue as soon as possible. Thanks Sir #MannkiBaat, #MyGov",,,,,,,,,,,,,,,,,,,,,
8,"name of suspicion and my concern is this in future they may also in the name of suspicion may ask to any newly married couple that are you with prostitute or prove that he is your husband do u have words for this so please tell the police and Uttar Pradesh Administration that don't bother any couple in public place or anywhere in the name of Anti-Romeo squad.It is we that bring you in the power and always want that leader like you serve our motherland .
Jai Hind",,,,,,,,,,,,,,,,,,,,,
9,"Respected Sir,
We the citizens of India are very much delighted to have a very hardworking and visionary Prime Minister like you. Thus we hope that you would make some changes in some of the ongoing ill-practices in some parts of our country. I believe each and every one in our country, be it a child or a senior citizen, have their right to freedom. Today the most disgusting practice that would endanger our Right to Freedom is Moral Policing. Please take strict action against these goons.",,,,,,,,,,,,,,,,,,,,,
10,"Dear Sir,
Since we are heading towards closure of financial year, please try to create self awareness among citizens about income tax return filing process.
Even if I Consult a CA, I should be able to verify if my CA has done the right job in filing my returns accurately. Every citizen should have that much knowledge of ITR and its not anything complicated. Creating awareness can help all.",,,,,,,,,,,,,,,,,,,,,
1,"Honourable
Prime minister
I would like to request you to initiates a leave on 23rd march every year in memory of our freedom fighters Bhagat singhji,rajguru ji and sukhdevji.It is very honoured to our heroes who gave their life happily for the freedom of country.",,,,,,,,,,,,,,,,,,,,,
2,"Dear PM,Most of the Indian Family breaking due to adultery of married women.Please make IPC 497 gender equal,cognizable,non-compoundable,non-bailable.IPC 498A,304B,354,509,125 Crpc,
The protection of women from Domestic Violence Act 2005,Child custody related,sexual harassment at work place, Indecent Representation of Women (Prohibition) Act 1986 etc.Please make Police,Judiciary and Govt Employee accountability laws.",,,,,,,,,,,,,,,,,,,,,
3,"Dear PM,You have reported in man ki Baat whenever any girl or woman contact you but you never speak about boy or men related issues,This is very hert to boy or man.Our demand is to Indian government.Please make all the Laws gender equal.We want 'Men's Welfare Ministry' and 'National Commission for Men'.Whosoever political party/govt make gender equal laws we support them.",,,,,,,,,,,,,,,,,,,,,
4,"R/PM Sir, Highlighting one major issue bcoz of which Poor & Middle class is suffering. In our country huge number of people who are working in govt. deptts. are also working for private organisations.I especially want to showcase the example of Doctors & teachers.If we are visiting a Doctor in govt. hospital for our treatment, he will not do proper check up most of the time whereas, if you visit same doctor at his pvt. clinic he will do your diagnose properly.#MannkiBaat, #MyGov",,,,,,,,,,,,,,,,,,,,,
5,"Sir, My concern is about moral policing and what happened in Lucknow, Uttar Pradesh on 22 march 2017 with the boy name Uddeshy Pandey in the name of Anti-Romeo squad as promised in  your's party manifesto. I come to know about this through Indian Express newspaper that how the boy and his friend molested by the police it is highly unacceptable.Yes I am big supporter of your work and dedication towards India but in the name of Anti-Romeo squad what UP police did yesterday and just give it the",,,,,,,,,,,,,,,,,,,,,
6,"Dear Sir
I am a central government employee posted in Varanasi in All India Radio as on date. I have a suggestion regarding the traffic scenario of Varanasi.
Sir, by constructing underpasses beneath the cantt railway station at Varanasi for two and three wheelers leading them to TV Tower road, easing the traffic pressure on the old GT Road from city and much of the inching traffic would become fast.
Please also note that the work on flyover being constructed near the station is very slow",,,,,,,,,,,,,,,,,,,,,
7,"I am a resident Docter..writing in view of recent attacks on residents in govt hospitals...reasons..no adequate security at gates, insufficient class 4 workers(huge vacancies), no rules for no relatives accompanying patients...result is there s always chaos in emergency department, ICU and Delivery sections.
Worldwide healthcare budget is around 5 to 15% of GDP, while in India its just around 2%.
Reduce work hours of residents(usually more than 36 hrs in stretch) and security to them.
Thank",,,,,,,,,,,,,,,,,,,,,
8,"I am a resident Docter..writing in view of recent attacks on residents in govt hospitals...reasons..no adequate security at gates, insufficient class 4 workers(huge vacancies), no rules for no relatives accompanying patients...result is there s always chaos in emergency department, ICU and Delivery sections.",,,,,,,,,,,,,,,,,,,,,
9,"Sir,
World Happiness report was out recently and as we could see, India's ranking on it was not quite good. this is a serious topic of concern. Our development is not only on the basis of GDP but Gross Happiness Index(GHI) is a much wider aspect of development. this should be taken into consideration as it checks the quality of life of people and the happiness of theirs. India's rank from 111 in 2012 has increased to 122 in 2017. Is this where we are heading to. Hope you will consider this.",,,,,,,,,,,,,,,,,,,,,
10,"Sir,
    Do more something about silguri corridor..",,,,,,,,,,,,,,,,,,,,,
1,"Respected Sir
I'm KOUSTUBHA BHARADVAJ of 10thstd Azad of Vivekananda High School Ballari Karnataka Sir I love you vvvvvvvvvvvvvvvvvvvvvvmuch
Sir I'm interested in your call to build nation
I have invented a science project to survive at Mars transport at high speed of 30kmph and production of water using Hydrogen and Oxygen and so on.
Please consider the project
Then ISRO will be able to launch the first project to survive on Mars
Thanking you
Regards KOUSTUBHA BHARADVAJ.",,,,,,,,,,,,,,,,,,,,,
2,"Sir,
I belong to an army background or as we take pride I calling ourself am an army cantonmant kid . My dad is a retired colonel and brother a iserving colonel . I am a doctor by choice and profession. I have always paid my taxes with happiness and pride. But it breaks my heart to see the attitude of general public towards doctors. We do have black sheeps but which profession does not. But nothing justifies violence against doctors . Sir pls urge public not to resort to voinence against docs.",,,,,,,,,,,,,,,,,,,,,
3,"Respected PM.
I am a student of civil engineering. I want to ask a little question which always confuses me
Its about our calender .
Why dont we use our national calender which is more suitable for our country",,,,,,,,,,,,,,,,,,,,,
4,"MY NAME IS P VENKATARAMANA RETIRED JOINT DIRECTOR OF PUBLIC INSTRUCTIONS UNDER KARNATAKA GOVERNMENT, A PENSION HOLDER.FOR GETTING PENSION I HAVE TO PRODUCE BIOMATRIC LIFE CERTIFICATE ONCE IN A YEAR. BUT THE FINGER TIPS OF ALL MY 10 FINGERS ARE OBLITERATED DUE TO OLD AGE AND DO NOT TALLY WITH MY ADHAAR CARD FINGERPRINTS. I HAVE ALREADY COMPLAINED THIS TO  PMO OFFICE  AND THE REG NO IS PMOPG/E/2017/0111106. PL ISSUE SUITABLE ORDER TO GET PENSION WITHOUT BIOMETRIC TO THE STATE GOVT.",,,,,,,,,,,,,,,,,,,,,
5,To The Honourable PM. It is the time we try for the betterment of the whole country. Almost 50% seats are reserved in any academic course. Already the seats are less in speciality and super speciality. This is one of the major problems of India.. I am aware that lot of people will oppose this but if you can take a major step like demonetisation you would surely look in to this matter. Thank you sir....,,,,,,,,,,,,,,,,,,,,,
6,"To The Honourable Prime Minister, I am a doctor working in AIIMS New Delhi. I request you to kindly look into the status of reservation in various states of our country. It has been a long time since an independent India. I think now you should take a step to eliminate this discrimination based on caste. It will bring people together and probably decrease brain drain. The weaker section may be benefitted by some other form of support eg free education and coaching. Hoping for a positive reply!",,,,,,,,,,,,,,,,,,,,,
7,"Respected Modi Ji,
Please improve electricity supply in haryana. supply of electricity is only 2 hour(out of 12 hour) in day time in rural area's. Now summer session has come. The supply of electricity should be 8 hour(out of 12 hour) in day time it will be very effective for children's.
Thanks",,,,,,,,,,,,,,,,,,,,,
